[b'228', b'228', b'228', b'228', b'000', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:05.417815
[b'228', b'228', b'228', b'228', b'000', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:06.024803
[b'228', b'228', b'228', b'228', b'000', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:06.632145
[b'228', b'228', b'228', b'228', b'000', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:07.239214
[b'228', b'228', b'228', b'228', b'000', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:07.846474
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:08.454217
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:09.061722
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:09.667554
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:10.274382
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:10.883192
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:11.489543
[b'228', b'228', b'100', b'338', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:12.097140
[b'228', b'228', b'355', b'338', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:12.705431
[b'228', b'228', b'271', b'100', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:13.313042
[b'228', b'228', b'228', b'100', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:13.921634
[b'228', b'228', b'213', b'230', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:14.527895
[b'228', b'228', b'302', b'339', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:15.136041
[b'228', b'228', b'348', b'167', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:15.743677
[b'228', b'228', b'134', b'109', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:16.351217
[b'228', b'228', b'228', b'338', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:16.959117
[b'228', b'228', b'205', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:17.567070
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:18.173133
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:18.780112
